7, 3
4, 3
5, 4
4, 1
5, 2
3, 4
6, 3
5, 2
6, 4
11, 9
5, 2
4, 1
5, 2
3, 4
5, 3
18, 10
14, 9
14, 9
18, 10
14, 9
6, 3
7, 1
5, 2
4, 5
9, 7
6, 0
11, 6
4, 2
16, 11
6, 0
11, 9
11, 9
5, 2
4, 5
5, 2
13, 7
6, 4
17, 9
4, 1
5, 2
3, 4
17, 9
5, 2
4, 5
5, 2
6, 0
6, 3
8, 2
4, 2
16, 11
6, 0
6, 7
5, 5
6, 7
5, 3
3, 5
11, 6
14, 12
6, 7
22, 11
17, 12
11, 8
6, 3
8, 2
3, 4
5, 2
4, 1
5, 2
3, 4
11, 12
9, 7
5, 2
9, 7
19, 11
9, 7
5, 2
8, 2
18, 10
14, 9
5, 2
4, 5
3, 3
17, 9
17, 9
16, 11
9, 7
17, 9
5, 2
9, 7
6, 0
16, 11
4, 5
25, 11
5, 2
15, 7
9, 7
5, 2
14, 9
17, 9
9, 7
8, 2
3, 3
6, 0
8, 6
6, 7
5, 2
3, 3
11, 9
8, 2
4, 5
5, 3
3, 5
11, 6
4, 2
5, 2
6, 7
5, 4
4, 1
5, 2
3, 4
17, 9
5, 2
4, 5
5, 5
4, 1
5, 2
3, 3
17, 9
5, 2
9, 7
17, 12
5, 2
9, 7
14, 9
14, 9
5, 2
4, 1
5, 2
3, 4
4, 1
5, 2
6, 3
8, 2
3, 4
6, 0
5, 2
9, 7
9, 7
3, 3
17, 9
9, 7
5, 2
22, 11
4, 1
11, 6
6, 0
8, 2
5, 2
4, 1
5, 2
3, 4
5, 2
4, 1
5, 2
3, 4
8, 2
9, 7
4, 5
7, 4
15, 7
17, 9
9, 7
5, 2
14, 9
17, 9
5, 2
4, 5
6, 0
3, 3
3, 4
5, 2
5, 2
6, 0
4, 5
5, 2
3, 3
5, 2
3, 6
6, 7
5, 3
3, 5
5, 2
6, 4
11, 12
17, 9
5, 2
5, 2
4, 5
14, 9
8, 5
12, 6
5, 2
4, 1
5, 2
3, 4
14, 9
6, 3
6, 0
8, 9
11, 9
5, 2
4, 1
5, 2
3, 4
5, 2
4, 1
5, 2
3, 4
14, 9
10, 8
5, 2
5, 2
12, 7
11, 9
18, 10
14, 9
4, 1
6, 7
3, 3
6, 3
8, 2
3, 4
6, 0
5, 2
14, 9
5, 2
4, 1
5, 2
3, 4
5, 2
4, 5
6, 0
3, 3
5, 2
9, 3
17, 9
5, 2
4, 1
5, 2
3, 4
5, 2
4, 1
5, 2
3, 4
6, 6
7, 4
4, 1
11, 6
14, 9
11, 8
9, 7
5, 2
6, 3
11, 8
5, 2
4, 5
5, 3
3, 5
5, 2
6, 4
16, 14
4, 1
8, 2
3, 4
4, 4
7, 1
5, 2
3, 4
5, 2
4, 1
5, 2
3, 6
4, 1
5, 2
3, 3
14, 8
17, 8
8, 2
4, 1
5, 2
3, 5
