qpe_12, qseed, 4029, 7534, 15191, 77.92
qpe_12, qsearch, 3758, 9994, 23559, 176.347
qpe_14, qseed, 14708, 30391, 70961, 177.147
qpe_14, qsearch, 9367, 23828, 61423, 218.901
qpe_16, qseed, 54298, 96698, 85365, 320.297
qpe_16, qsearch, 52962, 140460, 171311, 542.938
qpe_18, qseed, 48618, 83617, 160226, 544.775
qpe_18, qsearch, 46342, 122108, 236539, 804.262
shor_12, qseed, 4893, 7204, 2803, 20.842
shor_12, qsearch, 4922, 12796, 12963, 35.229
shor_14, qseed, 10459, 15729, 6429, 37.084
shor_14, qsearch, 10406, 27052, 27947, 79.228
shor_16, qseed, 14333, 20846, 8106, 47.639
shor_16, qsearch, 14572, 37550, 39628, 119.364
shor_32, qseed, 128257, 178770, 56878, 320.227
shor_32, qsearch, 134225, 342130, 374309, 1216.761
shor_64, qseed, 500516, 697136, 177576, 2258.237
shor_64, qsearch, 782143, 2014754, 1994568, 0.0
tfim_3, qseed, 19, 47, 30, 2.587
tfim_3, qsearch, 12, 30, 74, 3.879
tfim_4, qseed, 240, 432, 61, 2.107
tfim_4, qsearch, 162, 444, 552, 1.497
tfim_5, qseed, 256, 544, 77, 2.371
tfim_5, qsearch, 178, 476, 492, 1.886
tfim_6, qseed, 414, 771, 111, 2.946
tfim_6, qsearch, 248, 676, 764, 1.731
tfim_7, qseed, 382, 656, 90, 2.121
tfim_7, qsearch, 242, 664, 830, 1.982
tfim_8, qseed, 1260, 2229, 294, 2.941
tfim_8, qsearch, 819, 2226, 2721, 3.478
tfim_16, qseed, 1244, 2123, 306, 3.385
tfim_16, qsearch, 808, 2210, 2672, 6.395
tfim_32, qseed, 2833, 4655, 714, 4.757
tfim_32, qsearch, 1851, 5076, 6354, 14.953
tfim_64, qseed, 7622, 12954, 2053, 12.211
tfim_64, qsearch, 4940, 13330, 14739, 36.82
vqe_12, qseed, 17251, 27062, 6577, 37.245
vqe_12, qsearch, 17765, 53554, 38764, 91.349
vqe_14, qseed, 46478, 68406, 17884, 95.193
vqe_14, qsearch, 47832, 145416, 103149, 252.625
vqe_16, qseed, 96177, 187136, 37157, 198.402
vqe_16, qsearch, 99162, 301848, 210335, 522.523
vqe_18, qseed, 170140, 298594, 66615, 343.21
vqe_18, qsearch, 175563, 536550, 369448, 912.008
