add_17, qseed, 1403, 2433, 435, 8.488
add_17, qsearch, 1077, 2766, 2693, 6.067
add_41, qseed, 4630, 6415, 1217, 29.197
add_41, qsearch, 4891, 12422, 12683, 35.464
add_65, qseed, 10875, 15127, 2595, 30.582
add_65, qsearch, 11185, 28478, 31085, 89.138
heisenberg_3, qseed, 19, 41, 2024, 116.144
heisenberg_3, qsearch, 18, 42, 3728, 266.352
heisenberg_4, qseed, 240, 295, 61, 2.642
heisenberg_4, qsearch, 245, 670, 1175, 5.801
heisenberg_5, qseed, 277, 399, 139, 5.967
heisenberg_5, qsearch, 286, 752, 1196, 5.514
heisenberg_6, qseed, 376, 532, 128, 4.168
heisenberg_6, qsearch, 400, 1076, 1807, 6.585
heisenberg_7, qseed, 360, 369, 90, 3.357
heisenberg_7, qsearch, 362, 994, 1726, 7.214
heisenberg_8, qseed, 625, 762, 181, 4.049
heisenberg_8, qsearch, 618, 1686, 2935, 8.984
heisenberg_16, qseed, 1331, 1681, 343, 6.321
heisenberg_16, qsearch, 1411, 3770, 5787, 16.014
heisenberg_32, qseed, 3297, 3989, 819, 9.499
heisenberg_32, qsearch, 3369, 9060, 13779, 36.175
heisenberg_64, qseed, 7546, 9000, 1999, 21.753
heisenberg_64, qsearch, 7660, 20546, 31078, 86.84
hhl_6, qseed, 338, 584, 1195, 10.77
hhl_6, qsearch, 334, 854, 1530, 6.445
hhl_8, qseed, 3071, 5769, 11150, 39.251
hhl_8, qsearch, 2837, 7474, 21823, 180.794
hubbard_4, qseed, 118, 167, 73, 6.935
hubbard_4, qsearch, 132, 348, 325, 1.836
hubbard_8, qseed, 2207, 3384, 732, 8.037
hubbard_8, qsearch, 2250, 6162, 5035, 12.014
hubbard_18, qseed, 25956, 40574, 8199, 47.613
hubbard_18, qsearch, 25856, 71686, 60035, 152.779
hubbard_50, qseed, 469509, 718074, 133888, 760.439
hubbard_50, qsearch, 463351, 1259840, 1231885, 3534.426
mult_8, qseed, 453, 741, 558, 12.755
mult_8, qsearch, 442, 1142, 1509, 9.853
mult_16, qseed, 3046, 4957, 3803, 21.335
mult_16, qsearch, 3059, 7864, 10427, 34.353
mult_32, qseed, 23497, 37437, 27505, 126.005
mult_32, qsearch, 23264, 59872, 76969, 250.644
mult_64, qseed, 190260, 294903, 211484, 755.42
mult_64, qsearch, 190486, 490568, 607290, 2084.971
qae_11, qseed, 301, 451, 156, 4.987
qae_11, qsearch, 313, 806, 810, 4.293
qae_17, qseed, 749, 1061, 296, 8.1
qae_17, qsearch, 784, 2006, 1925, 6.289
qae_33, qseed, 2879, 4050, 830, 13.014
qae_33, qsearch, 3032, 7708, 8148, 26.262
qae_65, qseed, 10354, 14479, 2552, 29.026
qae_65, qsearch, 10612, 26882, 31987, 91.26
qae_67, qseed, 10295, 14553, 2449, 35.494
qae_67, qsearch, 10370, 26344, 30617, 85.706
qae_89, qseed, 15328, 21270, 3760, 39.932
qae_89, qsearch, 15493, 39272, 47697, 142.002
qae_101, qseed, 18876, 26438, 4621, 49.209
qae_101, qsearch, 18962, 48154, 58657, 179.228
qft_3, qseed, 21, 48, 20, 3.414
qft_3, qsearch, 15, 36, 29, 1.559
qft_4, qseed, 37, 76, 65, 4.725
qft_4, qsearch, 20, 52, 52, 1.501
qft_5, qseed, 58, 107, 22, 1.98
qft_5, qsearch, 39, 102, 108, 1.37
qft_6, qseed, 117, 203, 24, 2.011
qft_6, qsearch, 76, 200, 189, 2.191
qft_7, qseed, 186, 343, 74, 2.673
qft_7, qsearch, 126, 330, 281, 3.451
qft_8, qseed, 212, 372, 42, 2.218
qft_8, qsearch, 141, 366, 304, 2.242
qft_16, qseed, 1023, 1775, 400, 7.856
qft_16, qsearch, 718, 1832, 1820, 9.602
qft_32, qseed, 4658, 8060, 1241, 25.037
qft_32, qsearch, 3144, 8034, 9006, 25.272
qft_64, qseed, 8459, 11336, 2261, 34.547
qft_64, qsearch, 8747, 22120, 26331, 75.56
qml_4, qseed, 37, 65, 16, 2.132
qml_4, qsearch, 38, 106, 74, 1.105
qml_13, qseed, 605, 993, 255, 4.101
qml_13, qsearch, 613, 1730, 1239, 3.604
qml_19, qseed, 1351, 2461, 459, 5.307
qml_19, qsearch, 1324, 3698, 2477, 5.981
qml_25, qseed, 2612, 4475, 879, 7.076
qml_25, qsearch, 2557, 7106, 5072, 11.35
qml_44, qseed, 6962, 11647, 2249, 14.573
qml_44, qsearch, 6864, 19080, 14409, 31.715
qml_52, qseed, 9855, 16602, 3269, 19.912
qml_52, qsearch, 9725, 26944, 20119, 46.029
qml_60, qseed, 13452, 22430, 4593, 26.725
qml_60, qsearch, 13253, 36778, 27586, 63.213
qml_88, qseed, 24628, 41408, 8041, 46.291
qml_88, qsearch, 24267, 67314, 51577, 125.544
qml_98, qseed, 30616, 51877, 10540, 57.749
qml_98, qsearch, 30218, 83656, 63634, 158.303
qml_108, qseed, 37292, 62923, 12544, 73.282
qml_108, qsearch, 36761, 101854, 77448, 195.228
qml_118, qseed, 47058, 77883, 15405, 85.441
qml_118, qsearch, 46448, 128338, 99531, 255.561
qml_128, qseed, 55673, 92807, 18091, 98.749
qml_128, qsearch, 55143, 152226, 118633, 306.422
qpe_6, qseed, 472, 975, 1165, 11.642
qpe_6, qsearch, 311, 796, 1394, 8.109
qpe_8, qseed, 879, 1780, 2547, 14.13
qpe_8, qsearch, 552, 1416, 2738, 10.023
qpe_10, qseed, 3076, 5483, 9155, 32.756
qpe_10, qsearch, 2894, 7648, 14566, 44.039
